category,top_10_accuracy
AircraftBuoyant,0.15000000000000002
Apartment,0.09565217391304347
AquaticAnimal,0.18620689655172418
Bed,0.18888888888888888
Bicycle,0.4423076923076923
Biplane,0.3822222222222222
Bird,0.22954545454545452
Bookset,0.39
Bottle,0.38064516129032255
BuildingNonResidential,0.03863636363636364
Bus,0.195
Car,0.30674157303370786
Cellphone,0.24999999999999994
Chess,0.4738095238095238
City,0.15925925925925924
ClassicPiano,0.23500000000000001
Computer,0.15151515151515152
ComputerKeyboard,0.43999999999999995
Cup,0.16
DeskLamp,0.0967741935483871
DeskPhone,0.06
Door,0.20454545454545456
Drum,0.17500000000000002
Fish,0.5399999999999999
FloorLamp,0.05
Glasses,0.35
Guitar,0.1
Gun,0.17931034482758618
Hand,0.3027027027027027
Hat,0.06666666666666667
Helicopter,0.28627450980392155
House,0.11521739130434783
HumanHead,0.503921568627451
Humanoid,0.5077464788732394
Insect,0.1575757575757576
Jet,0.43916083916083926
Knife,0.08148148148148149
MilitaryVehicle,0.065
Monitor,0.045
Monoplane,0.085
Motorcycle,0.13076923076923078
Mug,0.14615384615384616
MultiSeat,0.14666666666666667
Musical_Instrument,0.05238095238095238
NonWheelChair,0.3066666666666667
PianoBoard,0.26
PlantIndoors,0.26349206349206356
PlantWildNonTree,0.016666666666666666
Quadruped,0.21929824561403508
RectangleTable,0.171875
Rocket,0.14500000000000002
RoundTable,0.13513513513513514
Shelf,0.2023255813953488
Ship,0.13809523809523805
Sign,0.1
Skyscraper,0.10500000000000002
Spoon,0.19
Starship,0.12258064516129034
SubmachineGun,0.11500000000000002
Sword,0.4433962264150944
Tool,0.2636363636363636
Train,0.14999999999999997
Tree,0.07446808510638299
Truck,0.13333333333333336
TruckNonContainer,0.31000000000000005
Vase,0.04
Violin,0.22999999999999998
Wheel,0.09999999999999999
WheelChair,0.135
Overall,0.20454706806926815
