category,average_accuracy_top_20,average_accuracy_top_10,overall_accuracy_top_5
AircraftBuoyant,0.034375,0.05625,
Apartment,0.08478260869565218,0.06521739130434782,
AquaticAnimal,0.1310344827586207,0.1724137931034483,
Bed,0.1462962962962963,0.1962962962962963,
Bicycle,0.4538461538461539,0.6461538461538462,
Biplane,0.19666666666666666,0.23111111111111113,
Bird,0.11022727272727272,0.1590909090909091,
Bookset,0.27749999999999997,0.33999999999999997,
Bottle,0.15806451612903227,0.1870967741935484,
BuildingNonResidential,0.04318181818181818,0.04090909090909091,
Bus,0.145,0.16499999999999998,
Car,0.4646067415730337,0.5348314606741573,
Cellphone,0.1125,0.155,
Chess,0.33690476190476193,0.4714285714285714,
City,0.09444444444444446,0.0962962962962963,
ClassicPiano,0.16999999999999998,0.22000000000000003,
Computer,0.09848484848484848,0.14242424242424243,
ComputerKeyboard,0.42000000000000004,0.625,
Cup,0.10333333333333333,0.15,
DeskLamp,0.06774193548387097,0.09032258064516129,
DeskPhone,0.08,0.11500000000000002,
Door,0.1590909090909091,0.25681818181818183,
Drum,0.2425,0.31500000000000006,
Fish,0.48,0.62,
FloorLamp,0.026785714285714284,0.025,
Glasses,0.185,0.275,
Guitar,0.125,0.13,
Gun,0.1939655172413793,0.20862068965517241,
Hand,0.3418918918918919,0.47027027027027024,
Hat,0.05333333333333334,0.04666666666666667,
Helicopter,0.27254901960784317,0.3254901960784314,
House,0.1108695652173913,0.11956521739130435,
HumanHead,0.48823529411764705,0.5705882352941177,
Humanoid,0.4943661971830986,0.5605633802816901,
Insect,0.1962121212121212,0.23636363636363636,
Jet,0.40664335664335666,0.45104895104895104,
Knife,0.06296296296296297,0.05925925925925926,
MilitaryVehicle,0.11750000000000001,0.155,
Monitor,0.057499999999999996,0.08499999999999999,
Monoplane,0.035,0.045,
Motorcycle,0.18076923076923077,0.23461538461538464,
Mug,0.16346153846153846,0.18846153846153849,
MultiSeat,0.13999999999999999,0.1822222222222222,
Musical_Instrument,0.07857142857142858,0.08571428571428572,
NonWheelChair,0.3641666666666667,0.41333333333333333,
PianoBoard,0.17250000000000001,0.255,
PlantIndoors,0.20873015873015874,0.26666666666666666,
PlantWildNonTree,0.020833333333333332,0.0375,
Quadruped,0.27807017543859647,0.33157894736842103,
RectangleTable,0.275,0.328125,
Rocket,0.035,0.05,
RoundTable,0.10675675675675676,0.13243243243243244,
Shelf,0.10930232558139535,0.13953488372093023,
Ship,0.1388888888888889,0.15079365079365079,
Sign,0.07666666666666666,0.11333333333333334,
Skyscraper,0.09,0.135,
Spoon,0.1025,0.13999999999999999,
Starship,0.06451612903225806,0.07419354838709677,
SubmachineGun,0.1325,0.135,
Sword,0.4660377358490566,0.5377358490566038,
Tool,0.25795454545454544,0.3977272727272727,
Train,0.08833333333333333,0.12000000000000001,
Tree,0.1829787234042553,0.21914893617021278,
Truck,0.1277777777777778,0.14074074074074072,
TruckNonContainer,0.3275,0.36,
Vase,0.04,0.06000000000000001,
Violin,0.08249999999999999,0.085,
Wheel,0.06470588235294118,0.10588235294117646,
WheelChair,0.3,0.365,
Overall,0.22649313962873285,0.27485875706214696,0.32300242130750606
