category,average_accuracy_top_20,average_accuracy_top_10,overall_accuracy_top_5
AircraftBuoyant,0.034375,0.043750000000000004,
Apartment,0.09130434782608696,0.0782608695652174,
AquaticAnimal,0.12586206896551724,0.15862068965517243,
Bed,0.1388888888888889,0.17037037037037037,
Bicycle,0.5230769230769231,0.6884615384615385,
Biplane,0.20222222222222222,0.24888888888888888,
Bird,0.09886363636363636,0.1340909090909091,
Bookset,0.305,0.41,
Bottle,0.1870967741935484,0.24193548387096775,
BuildingNonResidential,0.05,0.04090909090909091,
Bus,0.15,0.185,
Car,0.48651685393258426,0.5640449438202247,
Cellphone,0.12,0.16,
Chess,0.29642857142857143,0.36904761904761907,
City,0.08888888888888889,0.12222222222222223,
ClassicPiano,0.175,0.25,
Computer,0.1303030303030303,0.16666666666666666,
ComputerKeyboard,0.43,0.6599999999999999,
Cup,0.13333333333333333,0.17666666666666667,
DeskLamp,0.07096774193548387,0.0935483870967742,
DeskPhone,0.1,0.145,
Door,0.13749999999999998,0.2113636363636364,
Drum,0.2475,0.34500000000000003,
Fish,0.3975,0.54,
FloorLamp,0.026785714285714284,0.028571428571428574,
Glasses,0.1975,0.27,
Guitar,0.08499999999999999,0.11000000000000001,
Gun,0.1724137931034483,0.2189655172413793,
Hand,0.3391891891891892,0.41621621621621624,
Hat,0.06666666666666667,0.07333333333333333,
Helicopter,0.24019607843137256,0.27647058823529413,
House,0.10326086956521739,0.11739130434782609,
HumanHead,0.457843137254902,0.511764705882353,
Humanoid,0.4735915492957746,0.543661971830986,
Insect,0.16742424242424245,0.19999999999999998,
Jet,0.413986013986014,0.4433566433566433,
Knife,0.06481481481481481,0.07037037037037037,
MilitaryVehicle,0.1325,0.2,
Monitor,0.05500000000000001,0.09,
Monoplane,0.0475,0.05,
Motorcycle,0.18653846153846151,0.29230769230769227,
Mug,0.14423076923076922,0.19615384615384618,
MultiSeat,0.1511111111111111,0.19333333333333333,
Musical_Instrument,0.09285714285714286,0.1142857142857143,
NonWheelChair,0.3333333333333333,0.4,
PianoBoard,0.215,0.3,
PlantIndoors,0.2333333333333333,0.3,
PlantWildNonTree,0.027083333333333334,0.025000000000000005,
Quadruped,0.3157894736842105,0.41754385964912283,
RectangleTable,0.29453125,0.3234375,
Rocket,0.035,0.06000000000000001,
RoundTable,0.11621621621621621,0.15945945945945947,
Shelf,0.10813953488372094,0.14883720930232558,
Ship,0.1365079365079365,0.15396825396825395,
Sign,0.11000000000000001,0.15333333333333335,
Skyscraper,0.0975,0.16,
Spoon,0.10500000000000001,0.16,
Starship,0.07419354838709678,0.09032258064516129,
SubmachineGun,0.11000000000000001,0.12,
Sword,0.439622641509434,0.5264150943396226,
Tool,0.2727272727272727,0.38409090909090904,
Train,0.09333333333333334,0.11333333333333333,
Tree,0.18404255319148938,0.2148936170212766,
Truck,0.11296296296296296,0.12222222222222223,
TruckNonContainer,0.315,0.35,
Vase,0.042499999999999996,0.06,
Violin,0.1075,0.165,
Wheel,0.04411764705882353,0.06470588235294118,
WheelChair,0.28250000000000003,0.3,
Overall,0.22612994350282486,0.2755044390637611,0.32542372881355935
