category,average_auc
AircraftBuoyant,0.8727256380314107
Apartment,0.8232952729820741
AquaticAnimal,0.7516455793308341
Bed,0.8629033240605238
Bicycle,0.9140813923183104
Biplane,0.8992408073980893
Bird,0.6766955525152909
Bookset,0.9833950366151342
Bottle,0.8003177172214669
BuildingNonResidential,0.5959095638995959
Bus,0.9302142306539334
Car,0.6605644364473852
Cellphone,0.9081897991520705
Chess,0.7305262380226765
City,0.691307138108897
ClassicPiano,0.9654580103635818
Computer,0.662454532309524
ComputerKeyboard,0.8728541604213952
Cup,0.7183180890491573
DeskLamp,0.7378821582941644
DeskPhone,0.5764757397970107
Door,0.6297716174427528
Drum,0.9370917733715901
Fish,0.9366026080253522
FloorLamp,0.7006021410831907
Glasses,0.9175072802021327
Guitar,0.7789182476125218
Gun,0.761161412439226
Hand,0.8075563578016052
Hat,0.6409548298951466
Helicopter,0.8683385221398318
House,0.6899611547082103
HumanHead,0.9269326129993106
Humanoid,0.7454642042966513
Insect,0.705792049968893
Jet,0.8897365299020403
Knife,0.7167878839305469
MilitaryVehicle,0.720070125476425
Monitor,0.7093432829429146
Monoplane,0.9097230311335704
Motorcycle,0.6296008571676786
Mug,0.7345196289467841
MultiSeat,0.6580459663539537
Musical_Instrument,0.5721708626470532
NonWheelChair,0.7957693787491491
PianoBoard,0.9532522161791785
PlantIndoors,0.7233906359405273
PlantWildNonTree,0.6463755566185937
Quadruped,0.6897837287262228
RectangleTable,0.78029641929395
Rocket,0.7138563658943942
RoundTable,0.6508671110075053
Shelf,0.7570785780415714
Ship,0.6865276250925975
Sign,0.6681904246337864
Skyscraper,0.6473064322727078
Spoon,0.7986275748361954
Starship,0.57693458588819
SubmachineGun,0.8504713930880905
Sword,0.8172419567895083
Tool,0.6721585746861483
Train,0.7065366050634814
Tree,0.6694436371217825
Truck,0.7684215778568801
TruckNonContainer,0.9779009464262772
Vase,0.6058060682626012
Violin,0.7720220761423493
Wheel,0.7629828086312567
WheelChair,0.882749239861248
Overall,0.7750477377828964
