category,average_auc
AircraftBuoyant,0.7408752623206064
Apartment,0.7860280722361502
AquaticAnimal,0.7944570685850706
Bed,0.819632551518252
Bicycle,0.9324073573559081
Biplane,0.8374761728810228
Bird,0.6658938095255392
Bookset,0.9370926298659584
Bottle,0.737433776427945
BuildingNonResidential,0.5703030897887588
Bus,0.8760837865616034
Car,0.7972048388487404
Cellphone,0.7693114855894823
Chess,0.7893203672326928
City,0.6871557917691772
ClassicPiano,0.8506244914564687
Computer,0.6800828746659756
ComputerKeyboard,0.9212232880818809
Cup,0.7150835461898679
DeskLamp,0.6824674497189889
DeskPhone,0.7237326024581389
Door,0.5465539029139215
Drum,0.8066351548113572
Fish,0.9775400411117298
FloorLamp,0.5934882456383914
Glasses,0.8809638773500064
Guitar,0.8593057042524945
Gun,0.7203956268704603
Hand,0.8298688260544832
Hat,0.7968890693373032
Helicopter,0.8588005469038485
House,0.6591462793226766
HumanHead,0.9110398570991127
Humanoid,0.7707503161123381
Insect,0.7540955924153572
Jet,0.8198695957598876
Knife,0.7879144108347609
MilitaryVehicle,0.7660109845402767
Monitor,0.5853924885443879
Monoplane,0.7810943856794141
Motorcycle,0.7582973927816442
Mug,0.8602846607527246
MultiSeat,0.7085322605421249
Musical_Instrument,0.6129626399467669
NonWheelChair,0.8449745513482527
PianoBoard,0.8338466232709519
PlantIndoors,0.7199384052964942
PlantWildNonTree,0.5896069810109887
Quadruped,0.7682540517979733
RectangleTable,0.7395369170445466
Rocket,0.6822186415999315
RoundTable,0.7510943519889787
Shelf,0.6606541830358912
Ship,0.6522509779381673
Sign,0.5308998575746444
Skyscraper,0.6787148301999915
Spoon,0.7787832426876793
Starship,0.6612057973824829
SubmachineGun,0.8581652820007709
Sword,0.8727997890546108
Tool,0.5656944329728235
Train,0.661339775373751
Tree,0.6862607243483431
Truck,0.7488676120980395
TruckNonContainer,0.9539390176009592
Vase,0.7282620658644169
Violin,0.767849021455184
Wheel,0.7785344101548166
WheelChair,0.9528804976232281
Overall,0.7690780203356136
