category,ann_auc,ann_precision_at_k
AircraftBuoyant,0.8571428571428571,0.1375
Apartment,0.7125,0.04782608695652174
AquaticAnimal,0.5999779541446207,0.10344827586206896
Bed,0.6786186696900982,0.14814814814814814
Bicycle,0.7316468253968255,0.16538461538461538
Biplane,0.6439219576719577,0.22666666666666668
Bird,0.6749435286935287,0.17954545454545456
Bookset,0.7778070175438597,0.39
Bottle,0.7468560606060606,0.3806451612903226
BuildingNonResidential,0.5737179487179487,0.03181818181818182
Bus,0.615079365079365,0.11500000000000002
Car,0.6530616181657849,0.296629213483146
Cellphone,0.6622023809523809,0.31
Chess,0.8749349647266313,0.4452380952380952
City,0.923611111111111,0.10370370370370371
ClassicPiano,0.6646825396825397,0.145
Computer,0.7885714285714286,0.15454545454545454
ComputerKeyboard,0.8757440476190476,0.12
Cup,0.6049332611832612,0.10333333333333333
DeskLamp,0.5629409171075838,0.054838709677419356
DeskPhone,0.5625,0.05500000000000001
Door,0.8588280423280423,0.14772727272727273
Drum,0.6252125850340136,0.10500000000000001
Fish,0.7314732142857143,0.45499999999999996
FloorLamp,0.3873456790123457,0.04642857142857143
Glasses,0.6499255952380952,0.21000000000000002
Guitar,0.41973304473304474,0.09
Gun,0.6378616522366523,0.16896551724137931
Hand,0.7719907407407408,0.24594594594594593
Hat,0.8333333333333334,0.06666666666666667
Helicopter,0.6420102593883082,0.24705882352941175
House,0.5718101343101343,0.09782608695652174
HumanHead,0.5551664730933024,0.4392156862745098
Humanoid,0.615024154589372,0.4267605633802817
Insect,0.6878145567169958,0.09848484848484848
Jet,0.5761352258852259,0.3909090909090909
Knife,0.5404761904761906,0.05555555555555555
MilitaryVehicle,0.44560185185185186,0.09
Monitor,0.6748737373737373,0.07
Monoplane,0.6553724053724053,0.12
Motorcycle,0.8372432306255836,0.1346153846153846
Mug,0.6484237213403881,0.12692307692307694
MultiSeat,0.6083283730158731,0.11777777777777777
Musical_Instrument,0.3842592592592593,0.0380952380952381
NonWheelChair,0.6297979797979798,0.26
PianoBoard,0.6291904761904762,0.275
PlantIndoors,0.7176118326118326,0.32857142857142857
PlantWildNonTree,0.5930555555555556,0.02916666666666667
Quadruped,0.6583485958485958,0.14385964912280705
RectangleTable,0.5459093211752786,0.1328125
Rocket,0.5383994708994709,0.175
RoundTable,0.7509057971014492,0.0891891891891892
Shelf,0.697851966873706,0.08139534883720931
Ship,0.6209900793650794,0.14761904761904762
Sign,0.7063492063492064,0.06666666666666667
Skyscraper,0.654320987654321,0.045
Spoon,0.6185966810966811,0.12
Starship,0.6219973544973545,0.10967741935483871
SubmachineGun,0.6305114638447972,0.09
Sword,0.6378790949003714,0.39811320754716983
Tool,0.7751536098310292,0.21136363636363634
Train,0.7199074074074074,0.11
Tree,0.5386273448773449,0.0872340425531915
Truck,0.5508786848072562,0.12962962962962962
TruckNonContainer,0.6161816578483246,0.215
Vase,0.380952380952381,0.035
Violin,0.8141339869281046,0.13
Wheel,0.7455808080808081,0.0823529411764706
WheelChair,0.5016923436041083,0.19
