,mean
area,2.2984912001137783
volume,0.03232036167165762
compactness,1.4855542136432924e+33
rectangularity,0.1234505809935154
convexity,0.23856770099524777
diameter,1.0555283069065515
eccentricity,133.62993393041933
A3_0,0.020679387837293596
A3_1,0.022732573499798632
A3_2,0.02325478453483689
A3_3,0.023149166331051147
A3_4,0.02260797422472815
A3_5,0.02201549738219895
A3_6,0.021370128876359244
A3_7,0.020769315344341524
A3_8,0.020182525171163916
A3_9,0.01959305275875957
A3_10,0.019045207410390654
A3_11,0.018451949254933552
A3_12,0.01799334675795409
A3_13,0.01757901329037455
A3_14,0.017157515102698348
A3_15,0.016733705195328234
A3_16,0.016411768022553362
A3_17,0.01593724929520741
A3_18,0.015580857833266213
A3_19,0.015299009262988323
A3_20,0.014937297623842126
A3_21,0.01456304470398711
A3_22,0.014295473217881596
A3_23,0.014082722513089004
A3_24,0.01396942811115586
A3_25,0.013758171566653243
A3_26,0.013433137333870316
A3_27,0.013119073701167943
A3_28,0.012891578735400724
A3_29,0.01269777688280306
A3_30,0.01250723721304873
A3_31,0.012333233991139751
A3_32,0.012175251711639147
A3_33,0.012038320579943616
A3_34,0.011837897704389849
A3_35,0.011714341522351993
A3_36,0.011585678614579138
A3_37,0.011405980668546114
A3_38,0.01127555779299235
A3_39,0.011151840515505435
A3_40,0.011020386629077727
A3_41,0.010899552960128877
A3_42,0.010780910189287153
A3_43,0.010641333064840918
A3_44,0.010566318968989127
A3_45,0.010476339105920258
A3_46,0.01045958115183246
A3_47,0.01042733789770439
A3_48,0.010502166733789769
A3_49,0.010929621425694723
A3_50,0.010391119613370923
A3_51,0.009458538058799837
A3_52,0.008901542488924687
A3_53,0.008476254530809505
A3_54,0.008097937978252114
A3_55,0.007785030205396698
A3_56,0.007510640354409988
A3_57,0.007267120418848168
A3_58,0.007037064035440999
A3_59,0.006832436568666935
A3_60,0.0066383608538058796
A3_61,0.006454848973016511
A3_62,0.0062822150624244864
A3_63,0.006117555376560612
A3_64,0.005978674989931534
A3_65,0.005827801047120419
A3_66,0.005710503423278292
A3_67,0.0055658679017317764
A3_68,0.005451981474023359
A3_69,0.005341808296415626
A3_70,0.005230056383407168
A3_71,0.005128997180829642
A3_72,0.005037708417237213
A3_73,0.004969250906161901
A3_74,0.004893918646798228
A3_75,0.004782581554571084
A3_76,0.0046922996375352395
A3_77,0.00462282722513089
A3_78,0.0045278211840515505
A3_79,0.004456810310108739
A3_80,0.004373036649214661
A3_81,0.004290990737011679
A3_82,0.0042109142166733785
A3_83,0.004126133709222715
A3_84,0.0040252637937978255
A3_85,0.003930793395086589
A3_86,0.003810370519532823
A3_87,0.003690459122029802
A3_88,0.003571868707209021
A3_89,0.003427088199758357
A3_90,0.0032681836488119213
A3_91,0.003108115183246073
A3_92,0.0029226459927507047
A3_93,0.002716995569875151
A3_94,0.0024772613773660895
A3_95,0.0022361659283125254
A3_96,0.001949379782521144
A3_97,0.0015922915827627868
