File,Class,Eigenvector 1 (X-axis),Eigenvector 2 (Y-axis),Eigenvector 3 (Z-axis)
m1337.obj,AircraftBuoyant,1.0,1.0,1.0
m1338.obj,AircraftBuoyant,1.0,1.0,1.0
m1339.obj,AircraftBuoyant,1.0,1.0,1.0
m1340.obj,AircraftBuoyant,1.0,1.0,1.0
m1341.obj,AircraftBuoyant,1.0,1.0,1.0
m1342.obj,AircraftBuoyant,1.0,1.0,1.0
m1343.obj,AircraftBuoyant,1.0,1.0,1.0
m1344.obj,AircraftBuoyant,1.0,1.0,1.0
m1345.obj,AircraftBuoyant,1.0,1.0,1.0
m1346.obj,AircraftBuoyant,1.0,3.3462144311262192e-15,2.874928283102062e-15
m1347.obj,AircraftBuoyant,1.0,3.3350041830169786e-16,6.792959206395579e-17
m1348.obj,AircraftBuoyant,1.0,1.0,1.0
m1349.obj,AircraftBuoyant,1.0,1.0,1.0
m1350.obj,AircraftBuoyant,1.0,1.0,1.0
m1351.obj,AircraftBuoyant,1.0,1.0,1.0
m1352.obj,AircraftBuoyant,1.0,1.0,1.0
D00045.obj,Apartment,1.0,1.0,1.0
D00086.obj,Apartment,1.0,1.0,1.0
D00138.obj,Apartment,1.0,1.0,1.0
D00156.obj,Apartment,1.0,1.0,1.0
D00310.obj,Apartment,1.0,3.8415148838065845e-16,6.304967761661476e-16
D00348.obj,Apartment,1.0,1.0,1.0
D00366.obj,Apartment,1.0,1.0,1.0
D00478.obj,Apartment,1.0,1.0,1.0
D00496.obj,Apartment,1.0,1.0,1.0
D00626.obj,Apartment,1.0,1.0,1.0
D00639.obj,Apartment,1.0,1.0,1.0
D00651.obj,Apartment,1.0,1.0,1.0
D00681.obj,Apartment,1.0,1.0,1.0
D00780.obj,Apartment,1.0,1.0,1.0
D00792.obj,Apartment,1.0,1.0,1.0
D00859.obj,Apartment,1.0,1.0,1.0
D00860.obj,Apartment,1.0,1.0,1.0
D00869.obj,Apartment,1.0,2.1619353605493153e-16,1.4725151475512061e-16
D00921.obj,Apartment,1.0,1.0,1.0
D00953.obj,Apartment,1.0,1.0,1.0
m463.obj,Apartment,1.0,1.1640819103488014e-14,1.3046863360910224e-14
m464.obj,Apartment,1.0,1.0,1.0
m465.obj,Apartment,1.0,1.0,1.0
m53.obj,AquaticAnimal,1.0,1.0,1.0
m54.obj,AquaticAnimal,1.0,1.365709347372369e-15,1.0851997936114342e-15
m55.obj,AquaticAnimal,1.0,2.6331484293598257e-16,2.6331484293598257e-16
m56.obj,AquaticAnimal,1.0,3.3377291341052275e-16,1.5699991068634417e-16
m57.obj,AquaticAnimal,1.0,1.0,1.0
m58.obj,AquaticAnimal,1.0,1.0,1.0
m59.obj,AquaticAnimal,1.0,1.2246332925327672e-14,1.2442874503297499e-14
m60.obj,AquaticAnimal,1.0,1.0,1.0
m61.obj,AquaticAnimal,1.0,1.0,1.0
m62.obj,AquaticAnimal,1.0,1.0,1.0
m63.obj,AquaticAnimal,1.0,1.0,1.0
m64.obj,AquaticAnimal,1.0,1.0,1.0
m65.obj,AquaticAnimal,1.0,1.0,1.0
m66.obj,AquaticAnimal,1.0,1.0,1.0
m67.obj,AquaticAnimal,1.0,1.0,1.0
m68.obj,AquaticAnimal,1.0,1.0,1.0
m69.obj,AquaticAnimal,1.0,3.032434829341521e-16,1.119763832830296e-16
m70.obj,AquaticAnimal,1.0,8.536523489976148e-16,1.2474935190861441e-15
m71.obj,AquaticAnimal,1.0,1.0,1.0
m72.obj,AquaticAnimal,1.0,6.29616176324938e-16,5.22817303226929e-16
m73.obj,AquaticAnimal,1.0,1.0,1.0
m74.obj,AquaticAnimal,1.0,1.0,1.0
m75.obj,AquaticAnimal,1.0,1.0657106318022884e-15,8.682061476764489e-17
m76.obj,AquaticAnimal,1.0,1.7495380539178034e-16,9.910089404644143e-18
m77.obj,AquaticAnimal,1.0,1.8100137972250202e-14,1.8526441760879527e-14
m78.obj,AquaticAnimal,1.0,1.0,1.0
m79.obj,AquaticAnimal,1.0,1.0,1.0
m80.obj,AquaticAnimal,1.0,1.0,1.0
m81.obj,AquaticAnimal,1.0,3.0170374854709575e-14,3.0170374854709575e-14
D00031.obj,Bed,1.0,1.0,1.0
D00110.obj,Bed,1.0,1.0,1.0
D00121.obj,Bed,1.0,5.3428832939239404e-18,9.748998037592874e-17
D00184.obj,Bed,1.0,1.0,1.0
D00210.obj,Bed,1.0,1.0,1.0
D00213.obj,Bed,1.0,1.0,1.0
D00217.obj,Bed,1.0,1.0,1.0
D00307.obj,Bed,1.0,6.323508324053003e-15,6.323508324053003e-15
D00322.obj,Bed,1.0,1.0,1.0
D00417.obj,Bed,1.0,7.3821815781174e-17,1.2349598345322986e-16
D00538.obj,Bed,1.0,4.931390415068986e-16,2.760887914145124e-16
D00545.obj,Bed,1.0,1.0,1.0
D00552.obj,Bed,1.0,1.0,1.0
D00565.obj,Bed,1.0,1.0,1.0
D00650.obj,Bed,1.0,2.952084409383494e-16,1.4847663984565972e-16
D00735.obj,Bed,1.0,1.0688435759089707e-16,2.6823010485227875e-16
D00836.obj,Bed,1.0,1.0,1.0
D00839.obj,Bed,1.0,1.0,1.0
D00969.obj,Bed,1.0,1.0,1.0
D00988.obj,Bed,1.0,2.4770513706749135e-16,9.463842230399568e-17
m945.obj,Bed,1.0,1.0,1.0
m946.obj,Bed,1.0,1.0,1.0
m947.obj,Bed,1.0,1.0,1.0
m948.obj,Bed,1.0,1.0,1.0
m949.obj,Bed,1.0,1.0,1.0
m950.obj,Bed,1.0,5.197810811823213e-15,5.3087909332350096e-15
m951.obj,Bed,1.0,1.0,1.0
D00016.obj,Bicycle,1.0,1.0,1.0
D00033.obj,Bicycle,1.0,1.0,1.0
D00040.obj,Bicycle,1.0,1.0,1.0
D00077.obj,Bicycle,1.0,1.0,1.0
D00078.obj,Bicycle,1.0,1.0,1.0
D00462.obj,Bicycle,1.0,4.3460246041551123e-17,5.4695883816204783e-17
D00514.obj,Bicycle,1.0,1.0,1.0
D00536.obj,Bicycle,1.0,3.584188825256219e-16,2.6808027481751075e-16
D00555.obj,Bicycle,1.0,1.0,1.0
D00558.obj,Bicycle,1.0,1.0,1.0
D00567.obj,Bicycle,1.0,1.0,1.0
D00621.obj,Bicycle,1.0,1.0,1.0
D00708.obj,Bicycle,1.0,1.0,1.0
D00750.obj,Bicycle,1.0,1.0,1.0
D00838.obj,Bicycle,1.0,1.0,1.0
D00847.obj,Bicycle,1.0,1.0,1.0
D00904.obj,Bicycle,1.0,1.0,1.0
D00930.obj,Bicycle,1.0,7.031517620849329e-17,2.0350955624801314e-16
D00931.obj,Bicycle,1.0,1.0,1.0
D00974.obj,Bicycle,1.0,1.0,1.0
m1472.obj,Bicycle,1.0,1.0,1.0
m1473.obj,Bicycle,1.0,1.0,1.0
m1475.obj,Bicycle,1.0,1.0087576610494613e-16,2.893522501864748e-16
m1476.obj,Bicycle,1.0,1.0,1.0
m1477.obj,Bicycle,1.0,1.0,1.0
m1478.obj,Bicycle,1.0,1.0,1.0
D00069.obj,Biplane,1.0,1.0,1.0
D00132.obj,Biplane,1.0,1.2456321387562717e-16,3.398499506647522e-16
D00178.obj,Biplane,1.0,1.0,1.0
D00199.obj,Biplane,1.0,3.3306690738754706e-16,2.9131300530840265e-16
D00246.obj,Biplane,1.0,1.0,1.0
D00276.obj,Biplane,1.0,1.0,1.0
D00277.obj,Biplane,1.0,3.6270124959070625e-16,4.605737201300408e-16
D00320.obj,Biplane,1.0,1.0,1.0
D00373.obj,Biplane,1.0,1.0,1.0
D00410.obj,Biplane,1.0,1.0,1.0
D00490.obj,Biplane,1.0,1.0,1.0
D00515.obj,Biplane,1.0,1.0,1.0
D00601.obj,Biplane,1.0,1.0,1.0
D00616.obj,Biplane,1.0,1.0,1.0
D00632.obj,Biplane,1.0,7.280344425508404e-17,8.839043263705133e-17
D00634.obj,Biplane,1.0,1.0,1.0
D00666.obj,Biplane,1.0,3.8626427105350403e-16,6.550953820425836e-17
D00854.obj,Biplane,1.0,1.0,1.0
D00890.obj,Biplane,1.0,3.663735981263017e-15,7.176059937052694e-16
D00900.obj,Biplane,1.0,1.0,1.0
m1118.obj,Biplane,1.0,1.0,1.0
m1119.obj,Biplane,1.0,1.6656459000289434e-15,4.3782645342013824e-17
m1120.obj,Biplane,1.0,1.0,1.0
m1121.obj,Biplane,1.0,8.494509175596362e-16,8.494509175596362e-16
m1122.obj,Biplane,1.0,1.0,1.0
m1123.obj,Biplane,1.0,1.0,1.0
m1124.obj,Biplane,1.0,1.5040485169102497e-18,2.8508409900584935e-17
m1125.obj,Biplane,1.0,1.4626167762089925e-15,1.2481524889261275e-15
m1126.obj,Biplane,1.0,1.0,1.0
m1127.obj,Biplane,1.0,4.083314372946237e-17,8.498536446510143e-17
m1128.obj,Biplane,1.0,1.0,1.0
m1129.obj,Biplane,1.0,1.0,1.0
m1131.obj,Biplane,1.0,1.0,1.0
m1132.obj,Biplane,1.0,7.982017411019976e-17,7.982017411019976e-17
m1133.obj,Biplane,1.0,1.0,1.0
m1134.obj,Biplane,1.0,1.0,1.0
m1135.obj,Biplane,1.0,1.0,1.0
m1136.obj,Biplane,1.0,1.0,1.0
m1137.obj,Biplane,1.0,1.0,1.0
m1138.obj,Biplane,1.0,1.0,1.0
m1139.obj,Biplane,1.0,1.0,1.0
m1141.obj,Biplane,1.0,1.0,1.0
m1143.obj,Biplane,1.0,1.0,1.0
m1144.obj,Biplane,1.0,1.0,1.0
m1146.obj,Biplane,1.0,1.0,1.0
D00089.obj,Bird,1.0,3.919302739596601e-16,5.980935139693779e-16
D00113.obj,Bird,1.0,1.0,1.0
D00164.obj,Bird,1.0,1.0,1.0
D00234.obj,Bird,1.0,1.0,1.0
D00271.obj,Bird,1.0,1.0,1.0
D00284.obj,Bird,1.0,9.003049995419733e-14,8.960201810738031e-14
D00323.obj,Bird,1.0,1.0,1.0
D00386.obj,Bird,1.0,1.0,1.0
D00438.obj,Bird,1.0,4.303093027334793e-17,2.7753766818459405e-16
D00442.obj,Bird,1.0,4.253790854038273e-16,6.975819037823761e-16
D00546.obj,Bird,1.0,1.0,1.0
D00599.obj,Bird,1.0,1.0,1.0
D00625.obj,Bird,1.0,1.0,1.0
D00689.obj,Bird,1.0,6.864340140732476e-16,2.612766551400439e-16
D00736.obj,Bird,1.0,1.7322841625563304e-17,4.034906842748638e-16
D00762.obj,Bird,1.0,5.050253137244877e-15,6.457183151394429e-15
D00862.obj,Bird,1.0,1.0,1.0
D00922.obj,Bird,1.0,1.0,1.0
D00961.obj,Bird,1.0,1.0,1.0
D00999.obj,Bird,1.0,3.358086670533435e-16,2.6237580038684373e-16
m28.obj,Bird,1.0,1.0,1.0
m29.obj,Bird,1.0,1.0,1.0
m30.obj,Bird,1.0,1.0,1.0
m31.obj,Bird,1.0,1.733226209043832e-15,1.0755431722100847e-15
m32.obj,Bird,1.0,1.2070926578136232e-17,4.13643316200367e-16
m33.obj,Bird,1.0,1.0,1.0
