file_name,class,vertex_count,face_count
D00001.obj,,46252,90161
D00002.obj,,480,2520
D00003.obj,,6683,37098
D00004.obj,,24137,47752
D00005.obj,,626,3708
D00006.obj,,48226,54489
D00007.obj,,1289,2568
D00008.obj,,2075,12900
D00009.obj,,2027,11958
D00010.obj,,6939,38910
D00011.obj,,597,1032
D00012.obj,,4230,6966
D00013.obj,,5243,30981
D00014.obj,,748,4485
D00015.obj,,88,156
D00016.obj,,2769,5049
D00017.obj,,27708,49148
D00018.obj,,14101,26960
D00019.obj,,837,1578
D00020.obj,,857,1710
D00021.obj,,9543,18238
D00022.obj,,3912,6524
D00023.obj,,3655,7019
D00024.obj,,3952,6672
D00026.obj,,5506,32619
D00027.obj,,4202,4887
D00028.obj,,701,1376
D00029.obj,,5209,38331
D00030.obj,,3760,6304
D00031.obj,,1867,3590
D00032.obj,,1271,2481
D00033.obj,,2192,4448
D00034.obj,,1611,10902
D00035.obj,,235,884
D00036.obj,,144,264
D00037.obj,,2702,5336
D00038.obj,,13309,25129
D00039.obj,,18315,36384
D00040.obj,,25426,50650
D00041.obj,,27250,50370
D00042.obj,,2166,3816
D00043.obj,,338,556
D00044.obj,,10194,19412
D00045.obj,,14865,21021
D00046.obj,,1190,2354
D00047.obj,,3644,21885
D00048.obj,,3533,6976
D00049.obj,,19105,26096
D00050.obj,,5652,11300
D00051.obj,,855,1624
D00052.obj,,2253,4275
D00053.obj,,1518,2964
D00054.obj,,4680,9454
D00055.obj,,7636,45843
D00056.obj,,4148,21741
D00057.obj,,3682,6900
D00058.obj,,73440,53448
D00059.obj,,4274,6932
D00060.obj,,577,1014
D00061.obj,,2093,13146
D00062.obj,,1546,2964
D00063.obj,,1200,7752
D00064.obj,,6530,13256
D00065.obj,,1178,6072
D00066.obj,,10936,21764
D00067.obj,,353,702
D00068.obj,,19423,38396
D00069.obj,,3242,6326
D00070.obj,,8476,16832
D00071.obj,,10759,21800
D00072.obj,,5284,31161
D00073.obj,,11431,16648
D00074.obj,,1044,1872
D00075.obj,,1309,7779
D00076.obj,,8888,17465
D00077.obj,,16416,32265
D00078.obj,,22674,44740
D00079.obj,,20105,36972
D00080.obj,,64126,34887
D00081.obj,,313,578
D00082.obj,,6502,12876
D00083.obj,,1040,2040
D00084.obj,,12919,75870
D00085.obj,,575,3444
D00086.obj,,20462,42064
D00087.obj,,3855,5054
D00088.obj,,26911,53400
D00089.obj,,233,462
D00090.obj,,5696,11216
D00091.obj,,495,768
D00092.obj,,5901,33381
D00093.obj,,3661,7472
D00094.obj,,12412,24720
D00095.obj,,1681,3304
D00096.obj,,42566,36512
D00097.obj,,270,448
D00098.obj,,238,374
D00099.obj,,336,672
D00100.obj,,3204,5588
D00101.obj,,10098,20160
D00102.obj,,2572,5046
D00103.obj,,833,1654
D00104.obj,,1253,7125
D00105.obj,,8334,16159
D00106.obj,,5276,31296
D00107.obj,,356,904
D00108.obj,,1529,8214
D00109.obj,,3248,5280
D00110.obj,,1926,3644
D00111.obj,,2315,4574
D00112.obj,,7853,47286
D00113.obj,,15871,31702
D00114.obj,,7643,53259
D00115.obj,,36,204
D00116.obj,,805,4113
D00117.obj,,5090,9732
D00118.obj,,12443,21950
D00119.obj,,11687,23060
D00120.obj,,231,1311
D00121.obj,,12384,24612
D00122.obj,,1934,10977
D00123.obj,,1067,2044
D00124.obj,,1621,2871
D00125.obj,,8334,16194
D00126.obj,,25720,38308
D00127.obj,,701,3360
D00128.obj,,16595,21622
D00129.obj,,422,684
D00130.obj,,680,1672
D00131.obj,,5161,30666
D00132.obj,,287,348
D00133.obj,,13257,26446
D00134.obj,,204,422
D00135.obj,,531,848
D00136.obj,,1384,2556
D00137.obj,,5308,10332
D00138.obj,,10710,21140
D00139.obj,,2452,4860
D00140.obj,,4462,8734
D00141.obj,,1646,3200
D00142.obj,,3048,5286
D00143.obj,,3622,30261
D00144.obj,,243,1407
D00145.obj,,168,308
D00146.obj,,21992,43920
D00147.obj,,438,836
D00148.obj,,2448,14064
D00149.obj,,186,344
D00150.obj,,11963,23530
D00151.obj,,9415,54282
D00152.obj,,34506,74103
D00153.obj,,364,704
D00154.obj,,11605,22944
D00156.obj,,11745,19380
D00157.obj,,386,2499
D00158.obj,,8315,46152
D00159.obj,,22431,32752
D00160.obj,,253,458
D00161.obj,,302,572
D00162.obj,,1143,2296
D00163.obj,,8313,37275
D00164.obj,,8188,16135
D00165.obj,,4264,7130
D00166.obj,,23142,45936
D00167.obj,,593,1000
D00168.obj,,4350,8157
D00169.obj,,2149,4146
D00170.obj,,678,1266
D00171.obj,,1404,2716
D00172.obj,,1720,3440
D00173.obj,,17299,24950
D00174.obj,,12252,24500
D00175.obj,,13624,26994
D00176.obj,,7138,14272
D00177.obj,,5076,10136
D00178.obj,,4566,8057
D00179.obj,,5976,42567
D00180.obj,,2572,5046
D00181.obj,,9628,47613
D00182.obj,,13436,86502
D00183.obj,,3059,5646
D00184.obj,,7218,14204
D00185.obj,,257,434
D00186.obj,,7694,15316
D00187.obj,,2136,3688
D00188.obj,,80,120
D00189.obj,,651,3894
D00190.obj,,1572,10371
D00191.obj,,4498,8476
D00192.obj,,1230,2380
D00193.obj,,1800,11628
D00194.obj,,371,604
D00195.obj,,1429,2976
D00196.obj,,756,4812
D00197.obj,,6384,38268
D00198.obj,,1140,2068
D00199.obj,,2584,3764
D00200.obj,,19248,10908
D00201.obj,,6519,12656
D00202.obj,,37360,74720
D00203.obj,,867,1719
D00204.obj,,4978,10640
D00205.obj,,1166,6816
D00206.obj,,1906,3770
D00207.obj,,16140,31917
D00208.obj,,1824,3640
D00209.obj,,3278,6484
D00210.obj,,17296,34247
D00211.obj,,5097,9970
D00212.obj,,3238,33984
D00213.obj,,2277,4536
D00214.obj,,395,786
D00215.obj,,4409,23541
D00216.obj,,3864,24384
D00217.obj,,3238,6272
D00218.obj,,3522,7040
D00219.obj,,1349,2532
D00220.obj,,3924,7780
D00221.obj,,49630,51077
D00222.obj,,1062,1998
D00223.obj,,58763,54644
D00224.obj,,3920,7453
D00225.obj,,1524,3000
D00226.obj,,2903,5803
D00227.obj,,19522,38444
D00228.obj,,1322,2632
D00229.obj,,2767,4986
D00230.obj,,3713,6676
D00231.obj,,312,570
D00232.obj,,6143,12087
D00233.obj,,5204,27690
D00234.obj,,1247,2468
D00235.obj,,1613,10020
D00236.obj,,26704,45234
D00237.obj,,1940,3840
D00238.obj,,18348,30078
D00239.obj,,2121,4229
D00240.obj,,1474,2920
D00241.obj,,1162,6990
D00242.obj,,1874,3584
D00243.obj,,839,1648
D00244.obj,,293,558
D00245.obj,,1672,3296
D00246.obj,,5022,9353
D00247.obj,,6122,10530
D00248.obj,,5687,11460
D00249.obj,,15478,30816
D00250.obj,,4066,29310
D00251.obj,,4006,6628
D00252.obj,,2288,13668
D00253.obj,,719,4338
D00254.obj,,1335,8016
D00256.obj,,760,1326
D00257.obj,,2208,4366
D00258.obj,,6892,10781
D00259.obj,,49527,57938
D00260.obj,,35859,57440
D00261.obj,,2896,5788
D00262.obj,,524,868
D00263.obj,,40607,80270
D00264.obj,,11096,67185
D00265.obj,,4958,9157
D00266.obj,,6898,39423
D00267.obj,,6035,36387
D00268.obj,,1868,3672
D00269.obj,,3061,5544
D00270.obj,,2490,5022
D00271.obj,,12813,24753
D00272.obj,,15903,30266
D00273.obj,,27775,55260
D00274.obj,,1912,3167
D00275.obj,,5492,32640
D00276.obj,,512,916
D00277.obj,,22419,41567
D00278.obj,,1043,5118
D00279.obj,,7253,43107
D00280.obj,,7888,10914
D00281.obj,,897,1764
D00282.obj,,3835,7618
D00283.obj,,6979,34398
D00284.obj,,13253,26516
D00285.obj,,3770,7440
D00286.obj,,28394,62973
D00287.obj,,5281,30009
D00288.obj,,6529,12510
D00289.obj,,12462,24874
D00290.obj,,4837,9882
D00291.obj,,286,528
D00292.obj,,4205,4887
D00293.obj,,4062,6838
D00294.obj,,2022,3110
D00295.obj,,190,360
D00297.obj,,5561,33351
D00298.obj,,1609,9414
D00299.obj,,22232,45452
D00300.obj,,6372,10967
D00301.obj,,1264,2088
D00302.obj,,122,216
D00303.obj,,8955,54603
D00304.obj,,1521,2704
D00305.obj,,1710,10353
D00306.obj,,4264,8440
D00307.obj,,2644,5259
D00308.obj,,168,1128
D00309.obj,,1551,2818
