file_name,class,vertices,faces,min_bound,max_bound
m1337.obj,AircraftBuoyant,5132,9782,[0.025 0.025 0.025],[0.88923401 0.97500002 0.88923401]
m1338.obj,AircraftBuoyant,4960,9678,[0.025    0.025006 0.025   ],[0.93305802 0.97500002 0.93790102]
m1339.obj,AircraftBuoyant,5440,7619,[0.025 0.025 0.025],[0.607072   0.97500002 0.62681198]
m1340.obj,AircraftBuoyant,5054,9832,[0.025 0.025 0.025],[0.367686   0.97500002 0.36768901]
m1341.obj,AircraftBuoyant,5007,9954,[0.025 0.025 0.025],[0.37957501 0.97500002 0.37957501]
m1342.obj,AircraftBuoyant,4794,9214,[0.025 0.025 0.025],[0.61158699 0.97500002 0.60935998]
m1343.obj,AircraftBuoyant,5003,9994,[0.025 0.025 0.025],[0.71092099 0.97500002 0.71092099]
m1344.obj,AircraftBuoyant,4102,7688,[0.025 0.025 0.025],[0.67409903 0.97500002 0.67409998]
m1345.obj,AircraftBuoyant,5063,9704,[0.025 0.025 0.025],[0.60127699 0.97500002 0.60127699]
m1346.obj,AircraftBuoyant,5067,9826,[0.025 0.025 0.025],[0.322079   0.354725   0.97500002]
m1347.obj,AircraftBuoyant,5021,9956,[0.025 0.025 0.025],[0.31208599 0.41988099 0.97500002]
m1348.obj,AircraftBuoyant,5068,9822,[0.025 0.025 0.025],[0.321693   0.354958   0.97500002]
m1349.obj,AircraftBuoyant,5030,9350,[0.025 0.025 0.025],[0.97500002 0.385203   0.27364799]
m1350.obj,AircraftBuoyant,4167,7904,[0.025 0.025 0.025],[0.97500002 0.29131699 0.305022  ]
m1351.obj,AircraftBuoyant,5328,9418,[0.025 0.025 0.025],[0.20829999 0.219243   0.97500002]
m1352.obj,AircraftBuoyant,5026,9910,[0.025 0.025 0.025],[0.97500002 0.37664199 0.33262101]
D00045.obj,Apartment,5923,7070,[-0.61318599 -0.70091514 -0.53201708],[0.82902709 0.77041608 0.35202   ]
D00086.obj,Apartment,4272,8306,[-0.920883   -0.34203049 -0.41546899],[0.86316198 1.32482004 0.293879  ]
D00138.obj,Apartment,5034,9868,[-0.782682   -0.51453501 -0.317783  ],[0.77633899 0.63315701 0.19888499]
D00156.obj,Apartment,5382,6569,[-0.81948    -0.74207097 -0.66713798],[0.88116801 0.84283203 0.566733  ]
D00310.obj,Apartment,5934,9480,[-0.74465603 -0.38931599 -0.36877501],[1.03297997 0.49435699 0.339434  ]
D00348.obj,Apartment,5173,8744,[-0.94171    -0.40948999 -0.813025  ],[0.72545803 0.56641102 0.205192  ]
D00366.obj,Apartment,5001,9874,[-0.89546698 -0.85671502 -0.66391701],[0.74564397 0.59104002 0.52940202]
D00478.obj,Apartment,5662,5226,[-0.78062302 -0.760414   -0.47804299],[0.910492   0.404719   0.45136201]
D00496.obj,Apartment,5050,8912,[-0.64341903 -0.70465899 -0.34118801],[1.15353    0.87821603 0.25960801]
D00626.obj,Apartment,30598,60451,[-0.885934   -0.59776902 -0.51237297],[0.90698701 0.33114001 0.38206601]
D00639.obj,Apartment,4282,7980,[-0.54281801 -0.54425901 -0.68787903],[1.14108002 0.50005901 0.44911599]
D00651.obj,Apartment,5383,6567,[-0.94885802 -0.95093101 -0.55663401],[0.91655898 0.90425098 0.66181803]
D00681.obj,Apartment,5251,4904,[-0.68167102 -0.78868997 -0.471744  ],[1.09452999 0.58759701 0.65609199]
D00780.obj,Apartment,5526,7924,[-0.97722  -0.618166 -0.189083],[0.78916049 0.44963899 0.33386751]
D00792.obj,Apartment,5273,9251,[-0.79516298 -0.965409   -0.66929603],[1.10353994 0.96337599 0.85924602]
D00859.obj,Apartment,4654,8610,[-0.82417601 -0.69247299 -0.33127999],[1.07378995 0.61102498 0.21184599]
D00860.obj,Apartment,5654,5206,[-0.76492298 -0.76003402 -0.47475299],[0.927037   0.39962101 0.451175  ]
D00869.obj,Apartment,4847,9069,[-0.98451298 -0.52176499 -0.38064599],[0.68838298 0.64496201 0.55178499]
D00921.obj,Apartment,4954,5959,[-0.85070503 -0.487423   -0.55846697],[0.82260102 0.545748   0.55497801]
D00953.obj,Apartment,4156,7140,[-0.94920099 -0.82679898 -0.44488701],[0.66532099 0.896079   0.51871002]
m463.obj,Apartment,5080,9678,[0.025 0.025 0.025],[0.78502899 0.97500002 0.57476503]
m464.obj,Apartment,5651,7714,[0.025 0.025 0.025],[0.347449   0.97496152 0.296305  ]
m465.obj,Apartment,5073,9797,[0.025 0.025 0.025],[0.21702    0.97500002 0.25152299]
m53.obj,AquaticAnimal,5015,9434,[0.025    0.025015 0.025   ],[0.163371   0.3487305  0.97492751]
m54.obj,AquaticAnimal,4989,9324,[0.025062 0.025    0.025115],[0.25487749 0.37102801 0.97500002]
m55.obj,AquaticAnimal,5018,9469,[0.02513325 0.025      0.02595638],[0.181453   0.3801275  0.97499752]
m56.obj,AquaticAnimal,5008,9366,[0.025 0.025 0.025],[0.168956   0.367452   0.97500002]
m57.obj,AquaticAnimal,5078,9594,[0.025     0.0250175 0.025    ],[0.14396299 0.38943201 0.97493798]
m58.obj,AquaticAnimal,5000,9996,[0.025 0.025 0.025],[0.537049   0.500211   0.97500002]
m59.obj,AquaticAnimal,5130,8704,[0.025 0.025 0.025],[0.22499999 0.22499999 0.97500002]
m60.obj,AquaticAnimal,5000,9996,[0.025 0.025 0.025],[0.348674   0.407675   0.97500002]
m61.obj,AquaticAnimal,5107,9714,[0.025 0.025 0.025],[0.18742999 0.443396   0.97500002]
m62.obj,AquaticAnimal,5001,9998,[0.025 0.025 0.025],[0.131276   0.74917799 0.97500002]
m63.obj,AquaticAnimal,5419,9477,[0.025 0.025 0.025],[0.97500002 0.72454101 0.77723801]
